method,d,tier,studies,type,note,source,valueStatus,valueStatusShort,valueStatusDetail
Retrieval practice / testeffekten,0.55,1,200,SoL,SoL: många experiment/metaanalyser,Dunlosky; Roediger & Karpicke,Forskningsbaserat men uppskattat,Uppskattat,"Metoden har verkligt forskningsstöd, men det exakta d/g-värdet i grafen är ett typvärde eller en syntes, inte en exakt datapunkt från en enda metaanalys."
Spacing / distribuerad repetition,0.45,1,250,SoL,SoL: många experiment/metaanalyser,Dunlosky,Forskningsbaserat men uppskattat,Uppskattat,"Metoden har verkligt forskningsstöd, men det exakta d/g-värdet i grafen är ett typvärde eller en syntes, inte en exakt datapunkt från en enda metaanalys."
Interleaving / blandad övning,0.3,2,80,SoL,SoL: starkt men kontextberoende,Dunlosky,Forskningsbaserat men uppskattat,Uppskattat,"Metoden har verkligt forskningsstöd, men det exakta d/g-värdet i grafen är ett typvärde eller en syntes, inte en exakt datapunkt från en enda metaanalys."
Worked examples / genomarbetade exempel,0.5,1,120,SoL,SoL: stark experimentell grund,Cognitive Load Theory / SoL,Forskningsbaserat men uppskattat,Uppskattat,"Metoden har verkligt forskningsstöd, men det exakta d/g-värdet i grafen är ett typvärde eller en syntes, inte en exakt datapunkt från en enda metaanalys."
Dual coding / dubbelkodning,0.25,2,70,SoL,"SoL: stöd finns, varierar",Science of Learning,Forskningsbaserat men uppskattat,Uppskattat,"Metoden har verkligt forskningsstöd, men det exakta d/g-värdet i grafen är ett typvärde eller en syntes, inte en exakt datapunkt från en enda metaanalys."
Cognitive load / belastningsdesign,0.35,2,120,SoL,SoL: experimentell grund,Cognitive Load Theory,Forskningsbaserat men uppskattat,Uppskattat,"Metoden har verkligt forskningsstöd, men det exakta d/g-värdet i grafen är ett typvärde eller en syntes, inte en exakt datapunkt från en enda metaanalys."
Elaborative interrogation,0.3,2,60,SoL,SoL: måttligt stöd,Dunlosky,Forskningsbaserat men uppskattat,Uppskattat,"Metoden har verkligt forskningsstöd, men det exakta d/g-värdet i grafen är ett typvärde eller en syntes, inte en exakt datapunkt från en enda metaanalys."
Self-explanation,0.4,2,80,SoL,SoL: experimentell grund,Dunlosky,Forskningsbaserat men uppskattat,Uppskattat,"Metoden har verkligt forskningsstöd, men det exakta d/g-värdet i grafen är ett typvärde eller en syntes, inte en exakt datapunkt från en enda metaanalys."
Metakognition & självreglering,0.655,1,355,EEF,EEF: omfattande,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Läsförståelsestrategier,0.57,1,184,EEF,EEF: måttlig,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Feedback,0.485,1,155,EEF,EEF: omfattande,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Kamratundervisning,0.485,1,145,EEF,EEF: omfattande,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Fonologisk/phonics-undervisning,0.4,1,121,EEF,EEF: omfattande,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Mastery learning,0.4,1,80,EEF,EEF: måttlig,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
One-to-one tutoring,0.4,1,123,EEF,EEF: måttlig,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Oral language interventions,0.485,1,154,EEF,EEF: omfattande,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
